"time","message"
"2019-12-11 11:28:42","Hello. I am your truck chatbox."
"2019-12-11 11:30:15","Do you want to add the truck 1 in your fleet? (y/n)"
"2019-12-11 11:30:15","y"
"2019-12-11 11:30:26","What is the axle configuration? (nxn)"
"2019-12-11 11:30:26","3x3"
"2019-12-11 11:30:50","Please enter the correct axle configuration."
"2019-12-11 11:30:50","4x2"
"2019-12-11 11:30:55","What is the net weight of the truck in kg?"
"2019-12-11 11:30:55","3"
"2019-12-11 11:31:05","What is the load of the truck in kg?"
"2019-12-11 11:31:05","1"
"2019-12-11 11:31:11","Do you want to add the truck 2 in your fleet? (y/n)"
"2019-12-11 11:31:11","n"
"2019-12-11 11:31:11","Your fleet of trucks is listed below (number,axle configuration,weight,load):"
"2019-12-11 11:31:11","[[1, '4x2', 3.0, 1.0]]"
