"time","message"
"2019-12-11 11:32:30","Hello. I am your truck chatbox."
"2019-12-11 11:32:48","Do you want to add the truck 1 in your fleet? (y/n)"
"2019-12-11 11:32:48","Y"
"2019-12-11 11:32:48","Please enter y or n."
"2019-12-11 11:32:56","Do you want to add the truck 1 in your fleet? (y/n)"
"2019-12-11 11:32:56","y"
"2019-12-11 11:33:06","What is the axle configuration? (nxn)"
"2019-12-11 11:33:06","4 x 2"
"2019-12-11 11:33:23","Please enter the correct axle configuration."
"2019-12-11 11:33:23","4x2"
"2019-12-11 11:33:35","What is the net weight of the truck in kg?"
"2019-12-11 11:33:35","30"
"2019-12-11 11:33:39","What is the load of the truck in kg?"
"2019-12-11 11:33:39","3"
"2019-12-11 11:33:43","Do you want to add the truck 2 in your fleet? (y/n)"
"2019-12-11 11:33:43","y"
"2019-12-11 11:33:55","What is the axle configuration? (nxn)"
"2019-12-11 11:33:55","6x2"
"2019-12-11 11:34:00","What is the net weight of the truck in kg?"
"2019-12-11 11:34:00","40"
"2019-12-11 11:34:02","What is the load of the truck in kg?"
"2019-12-11 11:34:02","2"
"2019-12-11 11:34:04","Do you want to add the truck 3 in your fleet? (y/n)"
"2019-12-11 11:34:04","n"
"2019-12-11 11:34:04","Your fleet of trucks is listed below (number,axle configuration,weight,load):"
"2019-12-11 11:34:04","[[1, '4x2', 30.0, 3.0], [2, '6x2', 40.0, 2.0]]"
