"time","message"
"2019-12-10 18:47:47","Hello. I am your truck chatbox."
"2019-12-10 18:47:50","Adding the truck 1 in your fleet, please input the specifications, or enter ""stop"" to stop:"
"2019-12-10 18:47:50","hello"
"2019-12-10 18:47:51","Adding the truck 2 in your fleet, please input the specifications, or enter ""stop"" to stop:"
"2019-12-10 18:47:51","bye"
"2019-12-10 18:47:54","Adding the truck 3 in your fleet, please input the specifications, or enter ""stop"" to stop:"
"2019-12-10 18:47:54","checkl"
"2019-12-10 18:47:56","Adding the truck 4 in your fleet, please input the specifications, or enter ""stop"" to stop:"
"2019-12-10 18:47:56","stop"
"2019-12-10 18:47:56","Your fleet of trucks is listed below (number,spec):"
"2019-12-10 18:47:56","[[1, 'hello'], [2, 'bye'], [3, 'checkl']]"
