"time","message"
"2019-12-11 11:20:52","Hello. I am your truck chatbox."
"2019-12-11 11:20:53","Do you want to add the truck 1 in your fleet? (y/n)"
"2019-12-11 11:20:53","y"
"2019-12-11 11:20:57","What is the axle configuration? (nxn)"
"2019-12-11 11:20:57","6x4"
"2019-12-11 11:21:00","What is the net weight of the truck in kg?"
"2019-12-11 11:21:00","10000"
"2019-12-11 11:21:03","What is the load of the truck in kg?"
"2019-12-11 11:21:03","3000"
"2019-12-11 11:21:04","Do you want to add the truck 2 in your fleet? (y/n)"
"2019-12-11 11:21:04","y"
"2019-12-11 11:21:07","What is the axle configuration? (nxn)"
"2019-12-11 11:21:07","4x2"
"2019-12-11 11:21:14","What is the net weight of the truck in kg?"
"2019-12-11 11:21:14","20000"
"2019-12-11 11:21:16","What is the load of the truck in kg?"
"2019-12-11 11:21:16","5000"
"2019-12-11 11:21:18","Do you want to add the truck 3 in your fleet? (y/n)"
"2019-12-11 11:21:18","n"
"2019-12-11 11:21:18","Your fleet of trucks is listed below (number,axle configuration,weight,load):"
"2019-12-11 11:21:18","[[1, '6x4', 10000.0, 3000.0], [2, '4x2', 20000.0, 5000.0]]"
